Path, State
AK, Alaska
AL, Alabama
AR, Arkansas
AZ, Arizona
CA, California
CO, Colorado
FL, Florida
GA, Georgia
HI, Hawaii
IA, Iowa
ID, Idaho
IL, Illinois
IN, Indiana
KS, Kansas
KY, Kentucky
LA, Louisiana
MD, Maryland
MI, Michigan
MN, Minnesota
MO, Missouri
MS, Mississippi
MT, Montana
NC, North Carolina
ND, North Dakota
NE, Nebraska
NM, New Mexico
NV, Nevada
OH, Ohio
OK, Oklahoma
OR, Oregon
SC, South Carolina
SD, South Dakota
TN, Tennessee
TX, Texas
UT, Utah
VA, Virginia
WA, Washington
WI, Wisconsin
WV, West Virginia
WY, Wyoming
